,Nome da Música,ID do Artista,Letra Tratada,Raiva,Medo,Alegria,Tristeza,Surpresa,Gênero,Valor
252736,Em Tua Presença Entramos,/igreja-crista-maranata/,presenca entrar clamar ti senhor lavano sangue renova em o amor espirito santo vir presidir culto incenso a o ceu subir altar entregar vida senhor coracao oferta ti louvor cristo vivo revelar presenca em o graca operar fazeno ouvir voz presenca entrar clamar ti senhor lavano sangue renova em o amor,0.1816132478648794,0.1586565434932708,0.1175797460600732,0.2179811664042057,0.0130360302282495,rock,1
252737,Encontrei o Grande Amor,/igreja-crista-maranata/,encontrar amor amor sarar dor curar ferida trazer sentido vida amor aquecer alma conforto acalmar coracao aflito alcancar paz amor verdadeiro encontrar ti jesus demonstrar em o Cruz amor lir puro amor tao sincero nao medir comparar amor incomparavel jesus morrer inocente em aquele Cruz amor forte propria morte salvar agradecer tao amor expressar palavra senhor sacrificio marcar dor bis pecador,0.1642500940710303,0.1127901415806262,0.0641218393575398,0.4334155708551403,0.014642678434029,rock,1
252738,Entrei No Templo de Deus,/igreja-crista-maranata/,entrar em o templo deus ja vivo eternidade voce tambem entrar participante pai revelar eternidade entrei em o templo deus ja vivo eternidade voce tambem entrar participante pai revelar eternidade morte aprouve a o pai enviar filho hoje viver ja eternidade morte aprouve a o pai enviar filho hoje viver ja eternidade eternidade,0.1991934152960308,0.1956341289391275,0.0098346373415549,0.1988134744664416,0.0067952316021544,rock,1
252739,Esconde-me Senhor,/igreja-crista-maranata/,escondemer senhor em o fenda de o rocha em o sombra de o tuo asa senhor querer abrigar preservame de o angustia homem causar ensinamer olho erguir caminhar jesus senhor de o vida nao ha outro dever confiar es amor alegrio permanente companhia Vou contigo temo comigo escondeme senhor em o fenda de o rocha em o sombra de o tuo asa senhor querer abrigar preservame de o angustia homem causar ensinamer olho erguir caminhar jesus senhor de o vida nao ha outro dever confiar es amor alegrio permanente companhia Vou contigo temo comigo senhor comigo,0.1554458937142041,0.3707446951419113,0.0402317766565828,0.2353533000685271,0.0187284508720038,rock,1
252740,Espera em Deus,/igreja-crista-maranata/,homem esperar deus esperar Deus ouvirar clamor fonte paz amor brotar de o rio de o senhor solo entregar deus caminhar luz seguira entregar deus dor descanse filho em o senhor esperar deus esperar Deus luta vitorioso farar fe salvara espera deus em o amor sera vencedor entregar deus dor descanse filho em o senhor entregar deus caminhar luz seguira entregar deus dor descanse filho em o senhor esperar deus em o amor descansar deus em o paz entregar deus dor descanse filho em o senhor,0.1595049767871383,0.1471868652384726,0.1076971339061855,0.2959942507091905,0.0104660887736825,rock,1
252741,Esta Mensagem Que Estás Ouvindo,/igreja-crista-maranata/,mensagem ouvir por o vontade jesus transformar vida so de o sangus jesus jesus a o em este livrarte de o sofrimento vir jesus entregar jesus amar jesus chamar vir filho vida eterno querer nao rejeite oportunidade hoje dia salvacao amanho entregate jesus coracao jesus a o em este livrarte de o sofrimento vir jesus entregar jesus amar jesus chamar vir filho vida eterno querer jesus amar jesus chamar vir filho vida eterno querer,0.1609391451114785,0.1433658310910685,0.0965630738064644,0.3122643194859844,0.0082613825798033,rock,1
252742,"Estamos Aqui, Ó Deus",/igreja-crista-maranata/,deus pra louvar nome em o tornaste servo louver deus de o jerusalem cidade eternal pai em o preparar maranatar vir senhor jesus vir buscar instrumento repetir louvor maranatar lovemo deus louvemo deus louvemo Deus maranatar obs em o repetir x maranatalouvemos deus louver deus louver Deus,0.1769694946706292,0.160859259252902,0.1497455821372565,0.179635189240798,0.0161607696209101,rock,1
252743,Eterno Devedor,/igreja-crista-maranata/,eterno devedor amar El shadai eloim mordomo de o salvacao descendente abraao graca Recebi graca darei coro x em o querer aler ti dever senhor vida louvor exaltar prazer ti deus pai nascer amar escolher nascer pra amar jesus morrer em o Cruz nao pagar dever,0.1937381377443668,0.1467461441876365,0.1123974951915439,0.2488666013465257,0.0101608632248824,rock,1
252744,Eu Não Sei Qual Será Meu Louvor,/igreja-crista-maranata/,nao serar louvor nao serar louvor a o ouvir voz de o senhor vinder bendito pai possuir reino amor paz redimir de o senhor Deus preparar em o lindo cer amor paz viverer senhor olho humano som algum jamais ouvir de o morada de o senhor Deus preparar em o lindo cer amor paz viverer senhor olho humano som algum jamais ouvir de o morada de o senhor vinder bendito pai possuir reino amor paz,0.2248800844885403,0.1548003880074246,0.0930300154723223,0.2121533030644055,0.0113797243684528,rock,1
252745,Eu Quero Cantar de Gozo E de Paz,/igreja-crista-maranata/,querer cantar gozo paz sentir alegria jesus cristo trazer querer sentir presenca de o amor coracao salvador querer mundo senhor deus enviar filho morrer em um Cruz amar querer chorar alegria viver cantar jesus morrer salvar querer cantar gozo paz sentir alegria jesus cristo trazer querer sentir presenca de o amor coracao salvador querer mundo senhor deus enviar filho morrer em um Cruz amar querer chorar alegria viver cantar jesus morrer salvar,0.109421880333684,0.0878916358342393,0.4779061665758488,0.146363490261137,0.0124732225667683,rock,1
